phase,failure,side,fail_time,weight,wind,outcome,t_end,peak_alt,min_alt,min_speed,min_margin,max_bank,max_aoa
climb,rudder-hardover,right,60,380000,calm,CRASH,117.5,4101,-1,104,2,180,180.0
climb,engines:3+4,left,100,380000,calm,survived,200.0,5988,3000,157,44,6,7.9
climb,nominal,-,-,440000,calm,survived,200.0,5985,3000,156,36,0,8.7
climb,aileron-hardover,right,20,440000,calm,CRASH,60.4,3352,-1,118,15,180,180.0
climb,engines:2+3+4,left,60,440000,calm,survived,200.0,4463,3000,120,6,4,13.1
climb,engines:4,left,100,440000,calm,survived,200.0,5984,3000,156,36,3,8.7
climb,wing-loss,right,100,440000,calm,CRASH,144.9,4507,-1,107,-5,180,179.9
cruise,rudder-hardover,right,30,300000,calm,CRASH,119.3,10013,-1,116,20,180,180.0
cruise,engines:3+4,left,120,300000,calm,survived,320.0,10004,9996,248,119,3,8.7
cruise,engines:1,left,250,300000,calm,survived,320.0,10004,9996,248,119,1,8.7
cruise,windshear,-,250,300000,calm,survived,320.0,10004,9996,231,101,0,8.7
cruise,engines:2+3+4,left,30,380000,calm,survived,320.0,10004,9995,248,102,3,10.6
cruise,engines:4,left,120,380000,calm,survived,320.0,10004,9995,248,102,1,10.6
cruise,wing-loss,right,120,380000,calm,CRASH,197.3,10004,0,128,-3,180,180.0
cruise,elevator-jam,-,250,380000,calm,survived,320.0,10004,9995,248,102,0,10.6
cruise,engines:3+4,left,30,440000,calm,survived,320.0,10004,9993,248,91,2,11.4
cruise,engines:1,left,120,440000,calm,survived,320.0,10004,9993,248,91,1,11.4
cruise,windshear,-,120,440000,calm,survived,320.0,10004,9993,224,67,0,11.4
cruise,engines:1+2+3+4,left,250,440000,calm,survived,320.0,10004,9993,209,51,0,11.4
approach,engines:4,left,15,300000,calm,survived,220.0,911,0,83,26,2,12.3
approach,wing-loss,right,15,300000,calm,CRASH,30.4,911,-1,78,22,180,179.8
approach,elevator-jam,-,30,300000,calm,survived,220.0,911,548,83,26,0,12.3
approach,engines:1+4,left,50,300000,calm,survived,220.0,911,0,83,26,0,12.3
approach,engines:1,left,15,300000,tailwind,survived,220.0,908,0,73,16,2,10.4
approach,windshear,-,15,300000,tailwind,CRASH,46.1,908,-1,56,0,180,180.0
approach,engines:1+2+3+4,left,30,300000,tailwind,CRASH,95.5,908,0,55,-1,180,180.0
approach,engines:1+2,left,50,300000,tailwind,survived,220.0,908,0,73,16,5,10.4
approach,explosion,left,50,300000,tailwind,CRASH,63.9,908,0,73,16,168,179.9
approach,elevator-jam,-,15,300000,headwind,survived,220.0,916,202,84,27,0,14.0
approach,engines:1+4,left,30,300000,headwind,survived,220.0,916,0,84,27,0,14.0
approach,engines:2,left,50,300000,headwind,survived,220.0,916,0,84,27,1,14.0
approach,runaway-trim,-,50,300000,headwind,CRASH,189.7,916,0,84,27,0,14.0
approach,engines:1+2+3+4,left,15,300000,crosswind,CRASH,81.4,912,-1,55,-1,180,180.0
approach,engines:1+2,left,30,300000,crosswind,survived,220.0,912,0,83,26,5,12.5
approach,explosion,left,30,300000,crosswind,CRASH,45.2,912,0,73,17,172,180.0
approach,aileron-hardover,left,50,300000,crosswind,CRASH,70.3,912,0,83,26,91,14.3
approach,engines:1+4,left,15,380000,calm,survived,220.0,908,0,83,19,0,10.9
approach,engines:2,left,30,380000,calm,survived,220.0,908,0,83,19,1,10.9
approach,runaway-trim,-,30,380000,calm,CRASH,105.4,908,0,83,19,0,10.9
approach,rudder-hardover,left,50,380000,calm,CRASH,212.4,908,0,83,19,35,10.9
approach,engines:1+2,left,15,380000,tailwind,survived,220.0,905,0,73,9,5,8.5
approach,explosion,left,15,380000,tailwind,CRASH,30.3,905,0,73,9,173,179.9
approach,aileron-hardover,left,30,380000,tailwind,CRASH,52.2,905,0,73,9,176,180.0
approach,engines:1+2+3,left,50,380000,tailwind,CRASH,196.4,905,0,73,9,4,8.5
approach,engines:2,left,15,380000,headwind,survived,220.0,911,0,83,20,1,12.7
approach,runaway-trim,-,15,380000,headwind,CRASH,95.6,911,0,84,20,0,12.7
approach,rudder-hardover,left,30,380000,headwind,CRASH,212.7,911,0,83,20,35,12.7
approach,engines:2+3,left,50,380000,headwind,survived,220.0,911,0,83,20,0,12.7
approach,explosion,right,50,380000,headwind,CRASH,63.1,911,0,77,14,127,180.0
approach,aileron-hardover,left,15,380000,crosswind,CRASH,38.4,908,-1,76,13,177,180.0
approach,engines:1+2+3,left,30,380000,crosswind,CRASH,197.4,908,0,78,17,4,11.1
approach,engines:3,left,50,380000,crosswind,survived,220.0,908,0,83,20,4,11.1
approach,wing-loss,left,50,380000,crosswind,CRASH,63.3,908,-1,81,19,180,179.9
approach,rudder-hardover,left,15,440000,calm,CRASH,206.3,906,0,83,14,40,11.5
approach,engines:2+3,left,30,440000,calm,survived,220.0,906,0,83,14,0,9.9
approach,explosion,right,30,440000,calm,CRASH,44.0,906,0,79,11,136,180.0
approach,aileron-hardover,right,50,440000,calm,CRASH,70.3,906,0,77,10,165,180.0
approach,engines:1+2+3,left,15,440000,tailwind,CRASH,190.9,904,0,71,4,4,12.1
approach,engines:3,left,30,440000,tailwind,survived,220.0,904,0,73,4,1,12.1
approach,wing-loss,left,30,440000,tailwind,CRASH,44.1,904,-1,73,4,180,180.0
approach,rudder-hardover,right,50,440000,tailwind,CRASH,205.6,904,0,73,4,40,12.1
approach,engines:2+3,left,15,440000,headwind,survived,220.0,909,0,83,15,0,12.0
approach,explosion,right,15,440000,headwind,CRASH,29.9,909,0,81,13,124,179.9
approach,aileron-hardover,right,30,440000,headwind,CRASH,51.6,909,0,78,10,168,180.0
approach,engines:2+3+4,left,50,440000,headwind,CRASH,193.4,909,0,73,8,4,12.0
approach,engines:3,left,15,440000,crosswind,survived,220.0,906,0,83,15,4,10.1
approach,wing-loss,left,15,440000,crosswind,CRASH,29.9,906,-1,83,15,180,179.7
approach,rudder-hardover,right,30,440000,crosswind,CRASH,206.4,906,0,83,15,40,11.5
approach,engines:3+4,left,50,440000,crosswind,survived,220.0,906,0,83,15,5,10.1
